zipcode,mean_income_2011,mean_income_2015,income_roc,median_rent_2011,median_rent_2015,rent_roc
10065,197585,205447,0.03979046992433636,1887,2143,0.13566507684154744
10453,36352,33354,-0.08247139084507042,937,1028,0.09711846318036287
10452,35744,36083,0.009484109221128021,930,1044,0.12258064516129032
10451,35281,40836,0.15745018565233412,809,931,0.1508034610630408
10457,35096,36604,0.04296785958513791,956,1060,0.1087866108786611
10456,33512,35722,0.06594652661733111,813,927,0.14022140221402213
10455,33418,32854,-0.016877132084505357,726,796,0.09641873278236915
10454,33417,31533,-0.056378489990124785,576,673,0.1684027777777778
10459,34701,35964,0.03639664562980894,877,920,0.04903078677309008
10458,35194,41474,0.17843950673410242,1011,1121,0.10880316518298715
11232,54763,60019,0.0959772108905648,1186,1329,0.1205733558178752
11233,48047,50071,0.0421254188606989,978,1075,0.09918200408997956
11385,63978,69571,0.08742067585732595,1198,1294,0.08013355592654424
11234,83647,89848,0.07413296352529081,1212,1299,0.07178217821782178
11235,62842,68373,0.08801438528372744,1040,1161,0.11634615384615385
11237,47206,62004,0.3134771003685972,1126,1323,0.17495559502664298
11218,66711,78208,0.1723403936382306,1194,1381,0.15661641541038526
10280,167573,193651,0.1556217290374941,"2,000+",2890,Null
11379,77628,83602,0.07695676817643118,1237,1353,0.09377526273241714
11378,69078,74249,0.07485740756825618,1254,1402,0.11802232854864433
11102,61720,71031,0.15085871678548282,1327,1490,0.12283345892991711
11103,68609,74020,0.07886720401113556,1319,1465,0.1106899166034875
11377,62042,64842,0.04513071790077689,1216,1380,0.13486842105263158
11101,62059,77677,0.251663739344817,1064,1271,0.19454887218045114
11106,61476,71621,0.16502374910534193,1129,1380,0.22232063773250665
11370,73882,75046,0.015754852332097127,1348,1539,0.14169139465875372
11104,65230,70828,0.08581940824773877,1252,1421,0.13498402555910544
11105,71821,79957,0.11328163072081981,1328,1538,0.15813253012048192
11375,93527,95909,0.025468581265303068,1410,1566,0.11063829787234042
11374,74227,70852,-0.045468630013337466,1288,1349,0.04736024844720497
11229,65115,71111,0.09208323734930507,1021,1160,0.13614103819784526
10040,55144,59397,0.0771253445524445,1046,1228,0.1739961759082218
11228,79691,87560,0.0987438983072116,1192,1316,0.1040268456375839
10044,103751,116875,0.12649516631165,1931,2145,0.1108234075608493
11201,155523,152775,-0.01766941224127621,1581,2000,0.265022137887413
11203,62792,58403,-0.06989743916422474,1067,1172,0.09840674789128398
10128,174231,172532,-0.009751421962796518,1814,1962,0.08158765159867695
11205,66807,73353,0.09798374421842022,1090,1209,0.10917431192660551
11204,59739,65150,0.09057734478313999,1111,1217,0.09540954095409541
11207,44627,47113,0.0557061868375647,953,1063,0.11542497376705142
11206,41829,49425,0.18159650003586028,771,912,0.1828793774319066
11209,80997,87004,0.07416324061384989,1218,1362,0.11822660098522167
11208,46642,48043,0.030037305432871662,1095,1137,0.038356164383561646
11372,61056,63963,0.047612028301886794,1169,1316,0.12574850299401197
11225,53819,62860,0.16798900016722718,1016,1206,0.18700787401574803
11224,45299,50455,0.11382149716329279,725,701,-0.03310344827586207
11368,56619,55919,-0.012363340927957047,1293,1423,0.10054137664346481
11369,67189,67171,-0.0002679009956987007,1302,1336,0.026113671274961597
11366,96377,93774,-0.02700851862996358,1358,1574,0.15905743740795286
11223,58107,64964,0.11800643640181045,992,1172,0.1814516129032258
11364,83314,88789,0.0657152459370574,1434,1582,0.10320781032078104
11365,73725,79166,0.07380128857239743,1299,1390,0.07005388760585066
11362,95762,99502,0.039055157578162525,1448,1757,0.21339779005524862
11363,129809,121953,-0.06051968661649038,1503,1748,0.16300731869594146
11360,100704,97078,-0.03600651414045122,1774,1880,0.05975197294250282
11222,74569,87421,0.17235044053158818,1261,1670,0.32434575733544807
11221,48517,54815,0.12981016963126327,1023,1160,0.13391984359726294
11220,52252,54640,0.045701599938758324,1085,1213,0.11797235023041475
11212,38168,40177,0.052635715782854746,835,923,0.10538922155688622
11213,45630,47669,0.04468551391628315,973,1076,0.10585817060637205
11210,72345,77666,0.07355034902204713,1051,1166,0.10941960038058991
11211,62098,84221,0.35625946085220134,1139,1427,0.2528533801580334
10039,43417,52332,0.2053343160513163,740,859,0.1608108108108108
10038,124271,122181,-0.0168180830604083,1411,2051,0.45357902197023386
11214,54880,66803,0.21725583090379008,1031,1198,0.16197866149369544
11215,125128,144180,0.1522600856722716,1612,1914,0.18734491315136476
10035,45516,47759,0.04927937428596538,621,770,0.23993558776167473
10034,55286,59635,0.07866367615671237,1031,1159,0.12415130940834142
10037,52434,50691,-0.03324178967845291,847,1047,0.2361275088547816
10036,101421,115834,0.14211060825667268,1454,1965,0.35144429160935353
10031,58887,56924,-0.03333503150101041,998,1150,0.1523046092184369
10030,49605,53229,0.07305715149682492,742,905,0.2196765498652291
10033,61086,64437,0.05485708673018368,1065,1240,0.1643192488262911
10032,49433,52050,0.05294034349523598,977,1109,0.13510747185261002
11359,-,-,Null,-,-,Null
11358,84105,83944,-0.0019142738243861839,1427,1514,0.06096706377014716
11005,100566,91016,-0.09496251218105523,1527,2508,0.6424361493123772
11004,90821,99830,0.09919512007134913,1170,1248,0.06666666666666667
11697,105975,109500,0.03326256192498231,725,Null
11694,92893,100077,0.07733629014026891,1082,1212,0.12014787430683918
11357,92941,91915,-0.011039261466952152,1476,1610,0.09078590785907859
11356,77881,75112,-0.03555424301177437,1460,1475,0.010273972602739725
11355,59124,54472,-0.07868209187470401,1233,1287,0.043795620437956206
11354,63568,62568,-0.015731185502139443,1242,1344,0.0821256038647343
11216,54693,65962,0.20604099244875945,1038,1160,0.11753371868978806
11217,111074,126829,0.14184237535336802,1473,1743,0.18329938900203666
10309,99808,109210,0.09420086566207117,1184,1235,0.04307432432432432
10308,104300,98769,-0.053029721955896454,1222,1245,0.018821603927986905
10307,113102,96729,-0.14476313416208378,1252,1203,-0.03913738019169329
10306,92729,95618,0.031155302009080222,1174,1195,0.01788756388415673
10305,79425,82951,0.04439408246773686,1097,1195,0.08933454876937101
10304,73616,82916,0.1263312323407955,942,1074,0.14012738853503184
10303,68471,62834,-0.0823268244950417,991,958,-0.033299697275479316
10302,67999,70739,0.04029471021632671,1272,1168,-0.08176100628930817
10301,74852,75227,0.005009886175386095,1133,1168,0.03089143865842895
10028,202861,203678,0.004027388211632596,1881,2081,0.1063264221158958
10029,58637,60756,0.036137592305199785,729,886,0.21536351165980797
10026,64751,79815,0.23264505567481583,875,992,0.1337142857142857
10027,62340,70034,0.12341995508501764,849,1026,0.20848056537102475
10024,194581,202005,0.03815377657633582,1777,1849,0.04051772650534609
10025,115200,124739,0.08280381944444444,1277,1428,0.1182458888018794
10022,201941,234492,0.1611906447922908,"2,000+",2259,Null
10023,191790,188600,-0.016632775431461494,1878,2173,0.15708200212992546
10020,-,-,Null,-,-,Null
10021,203545,218180,0.07190056252917046,1843,1913,0.03798155181768855
11429,84655,82902,-0.020707577815840764,1246,1331,0.06821829855537721
11219,51375,52503,0.021956204379562045,1102,1245,0.1297640653357532
11230,61727,66632,0.07946279585918642,1122,1245,0.10962566844919786
11428,85282,75806,-0.11111371684528974,1199,1377,0.14845704753961636
11421,69656,78211,0.12281784770874009,1254,1396,0.11323763955342903
11420,77274,79434,0.027952480782669462,1271,1395,0.0975609756097561
11423,76616,80672,0.05293933382061188,1110,1237,0.11441441441441441
11422,91175,92702,0.016748012064710723,1597,1593,-0.002504696305572949
11427,84788,83020,-0.02085200735953201,1166,1275,0.09348198970840481
11426,93152,90998,-0.023123497080041223,1326,1502,0.13273001508295626
10310,81636,84186,0.031236219315008085,1202,1061,-0.11730449251247921
10312,101752,102797,0.0102700684016039,1189,1215,0.021867115222876366
10314,90905,93457,0.02807326329684836,1184,1199,0.01266891891891892
11231,101734,128453,0.2626358936048912,1420,1623,0.14295774647887324
11238,80729,93918,0.16337375664259435,1247,1461,0.17161186848436247
11239,34784,34840,0.001609935602575897,883,796,-0.0985277463193658
10019,134360,144753,0.0773518904435844,1803,2169,0.20299500831946754
10018,126491,144419,0.14173340395759382,"2,000+",2784,Null
10013,172252,242875,0.4099981422566937,1165,1512,0.2978540772532189
10012,134811,141430,0.049098367343911105,1710,2027,0.18538011695906434
10011,181230,196817,0.08600673177729956,1754,2000,0.1402508551881414
10010,155208,154979,-0.0014754394103396733,1946,2295,0.17934224049331962
10017,157961,160725,0.01749799001019239,1988,2218,0.11569416498993963
10016,156390,152944,-0.02203465694737515,"2,000+",2327,Null
11236,71984,72543,0.007765614581018004,1175,1274,0.08425531914893616
10014,161283,179375,0.11217549276737164,"2,000+",2281,Null
11432,69479,70442,0.013860303113170887,1175,1317,0.12085106382978723
11433,55849,59055,0.05740478791025802,933,1071,0.14790996784565916
11436,71812,78107,0.08765944410404947,1321,1420,0.07494322482967448
11434,68809,70071,0.018340624046273016,972,1135,0.16769547325102882
11435,65131,66645,0.023245459151556094,1218,1327,0.08949096880131363
10004,245827,177262,-0.27891566020005937,"2,000+",2851,Null
10005,159876,176424,0.10350521654282069,"2,000+",2918,Null
10006,150366,162688,0.08194671667797242,"2,000+",2824,Null
10007,347623,441278,0.2694154299341528,"2,000+",3423,Null
10001,121403,158183,0.3029579170201725,1580,1989,0.2588607594936709
10002,57063,61946,0.08557208699157072,770,882,0.14545454545454545
10003,140822,161692,0.14820127536890543,1747,2030,0.1619919862621637
11692,54133,58512,0.08089335525465058,748,847,0.1323529411764706
10009,83700,85207,0.018004778972520907,1322,1485,0.12329803328290469
11693,65689,64300,-0.021145092785702323,763,935,0.2254259501965924
10475,60158,59288,-0.014461916952026331,845,946,0.11952662721893491
10474,30209,36171,0.19735840312489655,908,1015,0.11784140969162996
10471,104139,105625,0.014269389949970712,1206,1488,0.23383084577114427
10470,65451,70509,0.07727918595590594,1111,1258,0.1323132313231323
10473,54715,51802,-0.05323951384446678,775,890,0.14838709677419354
10472,43420,41909,-0.034799631506218336,967,1065,0.10134436401240951
11691,54866,55708,0.01534648051616666,956,1074,0.12343096234309624
11361,86871,93310,0.0741213983953218,1449,1659,0.14492753623188406
11226,50667,58646,0.15747922711034795,1065,1197,0.12394366197183099
10075,187860,205405,0.09339401682103694,1743,1999,0.14687320711417096
10466,56838,56348,-0.008620992997642423,1048,1138,0.08587786259541985
10467,46481,46518,0.0007960241819237968,1018,1140,0.11984282907662082
10464,81856,90671,0.10768911258795934,1178,1365,0.15874363327674024
10465,77952,85312,0.09441707717569786,1142,1259,0.10245183887915937
10462,52056,57940,0.11303211925618564,1102,1210,0.09800362976406533
10463,72426,80384,0.10987766824068705,1063,1191,0.12041392285983067
10460,35187,35624,0.012419359422513997,918,951,0.03594771241830065
10461,63417,68790,0.0847249160319788,1117,1244,0.11369740376007162
10468,42329,44912,0.06102199437737721,1026,1148,0.1189083820662768
10469,69155,70069,0.013216687152049744,1131,1261,0.11494252873563218
11411,94772,93447,-0.013980922635377537,1212,1377,0.13613861386138615
11412,79251,82631,0.04264930410972732,1129,1278,0.13197519929140833
11413,87032,92538,0.06326408677268132,1443,1502,0.040887040887040885
11414,82914,88917,0.07240031840219988,1311,1514,0.15484363081617086
11415,71931,80334,0.11682028610751971,1221,1397,0.14414414414414414
11416,67401,72849,0.0808296612809899,1337,1355,0.013462976813762155
11417,72424,79020,0.09107478184027394,1250,1334,0.0672
11418,70077,73486,0.04864648886225152,1207,1357,0.12427506213753108
11419,68729,73064,0.06307381163700912,1296,1366,0.05401234567901234
11367,69054,73718,0.06754134445506416,1100,1238,0.12545454545454546
11373,59333,62616,0.05533177152680633,1260,1373,0.08968253968253968
